score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
signed,-0.6,2840,944,67,1963,0.7505285412262156,0.976952184382525,0.8489015094903601,0.976952184382525,0.32473340213278296,0.826109391124871
signed,-0.58,2837,934,70,1973,0.7523203394325113,0.9759201926384589,0.8496555855046422,0.9759201926384589,0.3212934296525628,0.8273133814929481
signed,-0.56,2832,924,75,1983,0.7539936102236422,0.9742002063983488,0.8500675371454299,0.9742002063983488,0.31785345717234265,0.8281733746130031
signed,-0.54,2831,913,76,1994,0.7561431623931624,0.9738562091503268,0.8513005563073222,0.9738562091503268,0.31406948744410046,0.8298933608531132
signed,-0.52,2827,898,80,2009,0.7589261744966443,0.9724802201582388,0.8525331724969843,0.9724802201582388,0.3089095287237702,0.8317853457172343
signed,-0.5,2825,887,82,2020,0.7610452586206896,0.9717922256621947,0.8536032633328297,0.9717922256621947,0.305125558995528,0.8333333333333334
signed,-0.48,2824,881,83,2026,0.7622132253711201,0.9714482284141727,0.8542044767090139,0.9714482284141727,0.30306157550739593,0.8341933264533884
signed,-0.46,2822,868,85,2039,0.7647696476964769,0.9707602339181286,0.8555403971502198,0.9707602339181286,0.29858961128310973,0.8360853113175094
signed,-0.44,2820,857,87,2050,0.7669295621430514,0.9700722394220846,0.856622114216282,0.9700722394220846,0.29480564155486755,0.8376332989336085
signed,-0.42,2818,842,89,2065,0.7699453551912568,0.9693842449260406,0.8582305466727578,0.9693842449260406,0.28964568283453734,0.8398692810457516
signed,-0.4,2817,833,90,2074,0.7717808219178082,0.9690402476780186,0.8592344059783437,0.9690402476780186,0.28654970760233917,0.8412452700378397
signed,-0.38,2814,824,93,2083,0.7735019241341397,0.9680082559339526,0.8598930481283422,0.9680082559339526,0.28345373237014104,0.8422772617819058
signed,-0.36,2813,814,94,2093,0.7755720981527433,0.9676642586859305,0.8610345883073156,0.9676642586859305,0.2800137598899209,0.8438252493980049
signed,-0.34,2812,803,95,2104,0.7778699861687414,0.9673202614379085,0.8623121741796995,0.9673202614379085,0.2762297901616787,0.8455452356381149
signed,-0.32,2811,797,96,2110,0.7791019955654102,0.9669762641898865,0.8629316960859554,0.9669762641898865,0.2741658066735466,0.8464052287581699
signed,-0.3,2811,786,96,2121,0.7814845704753962,0.9669762641898865,0.864391143911439,0.9669762641898865,0.27038183694530443,0.848297213622291
signed,-0.28,2809,776,98,2131,0.7835425383542538,0.9662882696938424,0.8653727664818237,0.9662882696938424,0.2669418644650843,0.8496732026143791
signed,-0.26,2806,767,101,2140,0.7853344528407501,0.9652562779497764,0.8660493827160494,0.9652562779497764,0.26384588923288615,0.8507051943584452
signed,-0.24,2802,754,105,2153,0.7879640044994376,0.9638802889576883,0.8670895868791583,0.9638802889576883,0.2593739250085999,0.8522531819745442
signed,-0.22,2798,749,109,2158,0.7888356357485199,0.9625042999656003,0.8670591881004029,0.9625042999656003,0.25765393876848985,0.8524251805985552
signed,-0.2,2794,739,113,2168,0.7908293235210869,0.9611283109735123,0.8677018633540373,0.9611283109735123,0.2542139662882697,0.8534571723426213
signed,-0.18,2788,727,119,2180,0.793172119487909,0.9590643274853801,0.8682653379009655,0.9590643274853801,0.2500859993120055,0.8544891640866873
signed,-0.16,2787,724,120,2183,0.7937909427513529,0.9587203302373581,0.8684948582112808,0.9587203302373581,0.24905400756793947,0.8548331613347093
signed,-0.14,2785,714,122,2193,0.7959416976278937,0.9580323357413141,0.869497346237902,0.9580323357413141,0.24561403508771928,0.8562091503267973
signed,-0.12,2780,707,127,2200,0.7972469171207341,0.956312349501204,0.8695652173913044,0.956312349501204,0.2432060543515652,0.8565531475748194
signed,-0.1,2778,699,129,2208,0.7989646246764452,0.95562435500516,0.8703007518796992,0.95562435500516,0.24045407636738905,0.8575851393188855
signed,-0.08,2774,693,133,2214,0.8001153735217768,0.954248366013072,0.8704110448697836,0.954248366013072,0.23839009287925697,0.8579291365669075
signed,-0.06,2772,687,135,2220,0.8013876843018214,0.9535603715170279,0.8708765315739868,0.9535603715170279,0.23632610939112486,0.8586171310629515
signed,-0.04,2768,676,139,2231,0.8037166085946573,0.9521843825249398,0.8716737521650133,0.9521843825249398,0.2325421396628827,0.8598211214310285
signed,-0.02,2766,663,141,2244,0.8066491688538933,0.9514963880288958,0.8731060606060607,0.9514963880288958,0.22807017543859648,0.8617131062951496
signed,0.0,2758,645,149,2262,0.8104613576256244,0.9487444100447197,0.8741679873217115,0.9487444100447197,0.2218782249742002,0.8634330925352597
signed,0.02,2753,629,154,2278,0.8140153755174453,0.9470244238046096,0.875496899348068,0.9470244238046096,0.21637426900584794,0.8653250773993808
signed,0.04,2753,616,154,2291,0.8171564262392401,0.9470244238046096,0.8773103887826642,0.9470244238046096,0.21190230478156175,0.867561059511524
signed,0.06,2752,603,155,2304,0.8202682563338302,0.9466804265565876,0.8789524113701693,0.9466804265565876,0.20743034055727555,0.869625042999656
signed,0.08,2745,592,162,2315,0.8225951453401259,0.9442724458204335,0.8792440743113389,0.9442724458204335,0.20364637082903336,0.8703130374957
signed,0.1,2740,587,167,2320,0.8235647730688308,0.9425524595803234,0.8790503689444981,0.9425524595803234,0.20192638458892329,0.8703130374957
signed,0.12,2736,571,171,2336,0.8273359540368914,0.9411764705882353,0.8805922111361442,0.9411764705882353,0.19642242862057105,0.8723770209838321
signed,0.14,2732,562,175,2345,0.8293867638129934,0.9398004815961473,0.8811482019029189,0.9398004815961473,0.1933264533883729,0.8732370141038872
signed,0.16,2730,549,177,2358,0.8325709057639524,0.9391124871001032,0.8826382153249273,0.9391124871001032,0.18885448916408668,0.8751289989680082
signed,0.18,2725,538,182,2369,0.8351210542445602,0.9373925008599931,0.8833063209076174,0.9373925008599931,0.18507051943584452,0.8761609907120743
signed,0.2,2721,525,186,2382,0.8382624768946395,0.936016511867905,0.8844466114090687,0.936016511867905,0.18059855521155832,0.8777089783281734
signed,0.22,2716,511,191,2396,0.841648590021692,0.934296525627795,0.8855559178350179,0.934296525627795,0.1757825937392501,0.8792569659442725
signed,0.24,2714,505,193,2402,0.8431189810500155,0.9336085311317509,0.8860594188703884,0.9336085311317509,0.17371861025111798,0.8799449604403164
signed,0.26,2705,486,202,2421,0.8476966468191789,0.9305125558995528,0.8871761233191211,0.9305125558995528,0.16718266253869968,0.8816649466804266
signed,0.28,2698,472,209,2435,0.8511041009463722,0.9281045751633987,0.8879381273654764,0.9281045751633987,0.16236670106639148,0.8828689370485037
signed,0.3,2689,460,218,2447,0.8539218799618926,0.9250085999312005,0.8880449141347424,0.9250085999312005,0.1582387340901273,0.8833849329205367
signed,0.32,2681,453,226,2454,0.8554562858966177,0.9222566219470244,0.8876013904982618,0.9222566219470244,0.15583075335397317,0.8832129342965256
signed,0.34,2677,445,230,2462,0.8574631646380525,0.9208806329549364,0.8880411345165036,0.9208806329549364,0.15307877536979705,0.8839009287925697
signed,0.36,2671,431,236,2476,0.8610573823339781,0.9188166494668043,0.888999833582959,0.9188166494668043,0.14826281389748883,0.8852769177846577
signed,0.38,2664,423,243,2484,0.8629737609329446,0.9164086687306502,0.888888888888889,0.9164086687306502,0.14551083591331268,0.8854489164086687
signed,0.4,2662,417,245,2490,0.8645664176680741,0.9157206742346061,0.8894086201135984,0.9157206742346061,0.1434468524251806,0.8861369109047128
signed,0.42,2655,405,252,2502,0.8676470588235294,0.913312693498452,0.8898944193061841,0.913312693498452,0.1393188854489164,0.8869969040247678
signed,0.44,2647,396,260,2511,0.8698652645415709,0.9105607155142759,0.8897478991596638,0.9105607155142759,0.13622291021671826,0.8871689026487788
signed,0.46,2637,388,270,2519,0.8717355371900827,0.9071207430340558,0.8890761968981795,0.9071207430340558,0.13347093223254214,0.8868249054007568
signed,0.48,2631,381,276,2526,0.8735059760956175,0.9050567595459237,0.889001520527116,0.9050567595459237,0.13106295149638802,0.8869969040247678
signed,0.5,2626,365,281,2542,0.8779672350384486,0.9033367733058135,0.8904713462190573,0.9033367733058135,0.1255589955280358,0.8888888888888888
signed,0.52,2620,357,287,2550,0.8800806180718844,0.9012727898176814,0.8905506458191706,0.9012727898176814,0.12280701754385964,0.8892328861369109
signed,0.54,2611,347,296,2560,0.8826910074374578,0.8981768145854833,0.8903665814151748,0.8981768145854833,0.11936704506363949,0.8894048847609219
signed,0.56,2602,333,305,2574,0.8865417376490631,0.8950808393532852,0.8907908250599111,0.8950808393532852,0.11455108359133127,0.890264877880977
signed,0.58,2587,330,320,2577,0.8868700719917724,0.8899208806329549,0.8883928571428572,0.8899208806329549,0.11351909184726522,0.8882008943928449
signed,0.6,2582,320,325,2587,0.8897312198483804,0.8882008943928449,0.8889653985195387,0.8882008943928449,0.11007911936704506,0.8890608875128999
signed,0.62,2570,314,337,2593,0.891123439667129,0.8840729274165807,0.8875841823519255,0.8840729274165807,0.10801513587891297,0.8880288957688338
signed,0.64,2559,304,348,2603,0.893817673768774,0.8802889576883385,0.8870017331022529,0.8802889576883385,0.10457516339869281,0.8878568971448229
signed,0.66,2543,295,364,2612,0.8960535588442565,0.8747850017199862,0.8852915578764143,0.8747850017199862,0.10147918816649466,0.8866529067767458
signed,0.68,2526,280,381,2627,0.9002138275124733,0.868937048503612,0.8842989672676352,0.868937048503612,0.09631922944616443,0.8863089095287238
signed,0.7,2517,267,390,2640,0.9040948275862069,0.8658410732714138,0.8845545598313125,0.8658410732714138,0.09184726522187822,0.8869969040247678
signed,0.72,2498,253,409,2654,0.9080334423845874,0.8593051255589955,0.8829975256274302,0.8593051255589955,0.08703130374957001,0.8861369109047128
signed,0.74,2478,243,429,2664,0.9106945975744212,0.8524251805985552,0.8805970149253731,0.8524251805985552,0.08359133126934984,0.8844169246646026
signed,0.76,2463,236,444,2671,0.9125602074842534,0.847265221878225,0.8787013913663931,0.847265221878225,0.08118335053319574,0.8830409356725146
signed,0.78,2441,228,466,2679,0.9145747470962907,0.8396972824217406,0.8755380200860832,0.8396972824217406,0.0784313725490196,0.8806329549363605
signed,0.8,2411,207,496,2700,0.9209320091673033,0.8293773649810802,0.8727601809954753,0.8293773649810802,0.07120743034055728,0.8790849673202614
signed,0.82,2381,187,526,2720,0.9271806853582555,0.8190574475404196,0.869771689497717,0.8190574475404196,0.06432748538011696,0.8773649810801514
signed,0.84,2354,173,553,2734,0.9315393747526711,0.8097695218438252,0.8663967611336033,0.8097695218438252,0.059511523907808735,0.8751289989680082
signed,0.86,2309,155,598,2752,0.9370941558441559,0.7942896456828346,0.859802643827965,0.7942896456828346,0.053319573443412455,0.8704850361197111
signed,0.88,2249,139,658,2768,0.9417922948073701,0.7736498108015136,0.849480642115203,0.7736498108015136,0.0478156174750602,0.8629170966632267
signed,0.9,2183,115,724,2792,0.9499564838990426,0.7509459924320605,0.8388088376560999,0.7509459924320605,0.03955968352253182,0.8556931544547643
