kind,score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
noun_close_entity,entail,0.36,520,208,43,355,0.7142857142857143,0.9236234458259325,0.8055770720371805,0.9236234458259325,0.369449378330373,0.7770870337477798
noun_close_entity,entail,0.37,519,206,44,357,0.7158620689655173,0.9218472468916519,0.8059006211180125,0.9218472468916519,0.36589698046181174,0.7779751332149201
noun_close_entity,entail,0.38,519,204,44,359,0.7178423236514523,0.9218472468916519,0.8071539657853811,0.9218472468916519,0.3623445825932504,0.7797513321492007
noun_close_entity,entail,0.39,517,202,46,361,0.7190542420027817,0.9182948490230906,0.8065522620904836,0.9182948490230906,0.35879218472468916,0.7797513321492007
noun_close_entity,entail,0.4,515,198,48,365,0.7223001402524544,0.9147424511545293,0.8072100313479623,0.9147424511545293,0.35168738898756663,0.7815275310834814
noun_close_entity,entail,0.41,514,194,49,369,0.7259887005649718,0.9129662522202486,0.8088119590873328,0.9129662522202486,0.34458259325044405,0.7841918294849023
noun_close_entity,entail,0.42,512,191,51,372,0.7283072546230441,0.9094138543516874,0.8088467614533966,0.9094138543516874,0.3392539964476021,0.7850799289520426
noun_close_entity,entail,0.43,512,188,51,375,0.7314285714285714,0.9094138543516874,0.8107680126682503,0.9094138543516874,0.3339253996447602,0.7877442273534636
noun_close_entity,entail,0.44,508,184,55,379,0.7341040462427746,0.9023090586145648,0.8095617529880479,0.9023090586145648,0.3268206039076377,0.7877442273534636
noun_close_entity,entail,0.45,506,184,57,379,0.7333333333333333,0.8987566607460036,0.8076616121308859,0.8987566607460036,0.3268206039076377,0.7859680284191829
noun_close_entity,entail,0.46,503,181,60,382,0.7353801169590644,0.8934280639431617,0.8067361668003208,0.8934280639431617,0.32149200710479575,0.7859680284191829
noun_close_entity,entail,0.47,501,179,62,384,0.736764705882353,0.8898756660746003,0.8061142397425584,0.8898756660746003,0.31793960923623443,0.7859680284191829
noun_close_entity,entail,0.48,501,175,62,388,0.7411242603550295,0.8898756660746003,0.8087167070217917,0.8898756660746003,0.3108348134991119,0.7895204262877442
noun_close_entity,entail,0.49,499,172,64,391,0.7436661698956781,0.8863232682060391,0.8087520259319287,0.8863232682060391,0.30550621669627,0.7904085257548845
noun_close_entity,entail,0.5,498,169,65,394,0.7466266866566716,0.8845470692717584,0.8097560975609757,0.8845470692717584,0.30017761989342806,0.7921847246891652
noun_close_entity,entail,0.51,497,166,66,397,0.7496229260935143,0.8827708703374778,0.8107667210440457,0.8827708703374778,0.29484902309058614,0.7939609236234458
noun_close_entity,entail,0.52,495,165,68,398,0.75,0.8792184724689165,0.8094848732624694,0.8792184724689165,0.29307282415630553,0.7930728241563055
noun_close_entity,entail,0.53,493,164,70,399,0.7503805175038052,0.8756660746003553,0.8081967213114755,0.8756660746003553,0.2912966252220249,0.7921847246891652
noun_close_entity,entail,0.54,491,162,72,401,0.7519142419601837,0.872113676731794,0.8075657894736842,0.872113676731794,0.2877442273534636,0.7921847246891652
noun_close_entity,entail,0.55,490,156,73,407,0.7585139318885449,0.8703374777975134,0.8105872622001654,0.8703374777975134,0.27708703374777977,0.7966252220248667
noun_close_entity,entail,0.56,489,152,74,411,0.7628705148205929,0.8685612788632326,0.8122923588039868,0.8685612788632326,0.2699822380106572,0.7992895204262878
noun_close_entity,entail,0.57,488,150,75,413,0.7648902821316614,0.866785079928952,0.8126561199000832,0.866785079928952,0.2664298401420959,0.8001776198934281
noun_close_entity,entail,0.58,487,143,76,420,0.773015873015873,0.8650088809946714,0.8164291701592624,0.8650088809946714,0.2539964476021314,0.80550621669627
noun_close_entity,entail,0.59,483,139,80,424,0.7765273311897106,0.8579040852575488,0.8151898734177214,0.8579040852575488,0.2468916518650089,0.80550621669627
noun_close_entity,entail,0.6,481,136,82,427,0.779578606158833,0.8543516873889876,0.8152542372881356,0.8543516873889876,0.24156305506216696,0.8063943161634103
noun_close_entity,entail,0.61,479,133,84,430,0.7826797385620915,0.8507992895204263,0.8153191489361702,0.8507992895204263,0.23623445825932504,0.8072824156305506
noun_close_entity,entail,0.62,478,131,85,432,0.7848932676518884,0.8490230905861457,0.8156996587030716,0.8490230905861457,0.23268206039076378,0.8081705150976909
noun_close_entity,entail,0.63,474,127,89,436,0.7886855241264559,0.8419182948490231,0.8144329896907218,0.8419182948490231,0.2255772646536412,0.8081705150976909
noun_close_entity,entail,0.64,471,123,92,440,0.7929292929292929,0.8365896980461812,0.8141745894554883,0.8365896980461812,0.21847246891651864,0.8090586145648313
noun_close_entity,entail,0.65,469,121,94,442,0.7949152542372881,0.8330373001776199,0.813529921942758,0.8330373001776199,0.21492007104795738,0.8090586145648313
noun_close_entity,entail,0.66,467,120,96,443,0.7955706984667802,0.8294849023090586,0.8121739130434782,0.8294849023090586,0.21314387211367672,0.8081705150976909
noun_close_entity,entail,0.67,465,116,98,447,0.8003442340791739,0.8259325044404974,0.8129370629370629,0.8259325044404974,0.20603907637655416,0.8099467140319716
noun_close_entity,entail,0.68,463,113,100,450,0.8038194444444444,0.822380106571936,0.8129938542581211,0.822380106571936,0.20071047957371227,0.8108348134991119
noun_close_entity,entail,0.69,458,112,105,451,0.8035087719298246,0.8134991119005328,0.8084730803177406,0.8134991119005328,0.1989342806394316,0.8072824156305506
noun_close_entity,entail,0.7,455,107,108,456,0.8096085409252669,0.8081705150976909,0.8088888888888889,0.8081705150976909,0.19005328596802842,0.8090586145648313
noun_close_entity,entail,0.71,453,105,110,458,0.8118279569892473,0.8046181172291297,0.8082069580731489,0.8046181172291297,0.18650088809946713,0.8090586145648313
noun_close_entity,entail,0.72,450,102,113,461,0.8152173913043478,0.7992895204262878,0.8071748878923767,0.7992895204262878,0.1811722912966252,0.8090586145648313
noun_close_entity,entail,0.73,447,101,116,462,0.8156934306569343,0.7939609236234458,0.8046804680468047,0.7939609236234458,0.17939609236234458,0.8072824156305506
noun_close_entity,entail,0.74,442,99,121,464,0.8170055452865065,0.7850799289520426,0.8007246376811594,0.7850799289520426,0.17584369449378331,0.8046181172291297
noun_close_entity,entail,0.75,439,97,124,466,0.8190298507462687,0.7797513321492007,0.7989080982711557,0.7797513321492007,0.17229129662522202,0.8037300177619894
noun_close_entity,entail,0.76,438,96,125,467,0.8202247191011236,0.7779751332149201,0.7985414767547857,0.7779751332149201,0.1705150976909414,0.8037300177619894
noun_close_entity,entail,0.77,435,91,128,472,0.8269961977186312,0.7726465364120781,0.7988980716253444,0.7726465364120781,0.16163410301953818,0.80550621669627
noun_close_entity,entail,0.78,429,87,134,476,0.8313953488372093,0.7619893428063943,0.7951807228915663,0.7619893428063943,0.15452930728241562,0.8037300177619894
noun_close_entity,entail,0.79,422,83,141,480,0.8356435643564356,0.7495559502664298,0.7902621722846442,0.7495559502664298,0.14742451154529307,0.8010657193605684
noun_close_entity,entail,0.8,418,79,145,484,0.8410462776659959,0.7424511545293073,0.7886792452830189,0.7424511545293073,0.14031971580817051,0.8010657193605684
noun_close_entity,entail,0.81,412,76,151,487,0.8442622950819673,0.7317939609236235,0.7840152235965747,0.7317939609236235,0.1349911190053286,0.7984014209591475
noun_close_entity,entail,0.82,402,71,161,492,0.8498942917547568,0.7140319715808171,0.7760617760617761,0.7140319715808171,0.1261101243339254,0.7939609236234458
noun_close_entity,entail,0.83,401,69,162,494,0.8531914893617021,0.7122557726465364,0.776379477250726,0.7122557726465364,0.12255772646536411,0.7948490230905861
noun_close_entity,entail,0.84,393,65,170,498,0.8580786026200873,0.6980461811722913,0.7698334965719883,0.6980461811722913,0.11545293072824156,0.7912966252220248
noun_close_entity,entail,0.85,391,60,172,503,0.8669623059866962,0.69449378330373,0.7712031558185403,0.69449378330373,0.10657193605683836,0.7939609236234458
